bz_integration,calculations_type,code,cutoff,element,exchange,k-point,property,smearing,state_equation,structure,value
No_tetra,allKp,VASP,xxx,Al,pw91,4,B,smear0.200,Murn,fcc,80.35136
No_tetra,allKp,VASP,xxx,Al,pw91,6,B,smear0.200,Murn,fcc,71.990529
No_tetra,allKp,VASP,xxx,Al,pw91,8,B,smear0.200,Murn,fcc,77.714187
No_tetra,allKp,VASP,xxx,Al,pw91,10,B,smear0.200,Murn,fcc,60.833595
No_tetra,allKp,VASP,xxx,Al,pw91,12,B,smear0.200,Murn,fcc,78.892647
No_tetra,allKp,VASP,xxx,Al,pw91,14,B,smear0.200,Murn,fcc,74.459472
No_tetra,allKp,VASP,xxx,Al,pw91,16,B,smear0.200,Murn,fcc,77.02367
No_tetra,allKp,VASP,xxx,Al,pw91,18,B,smear0.200,Murn,fcc,72.948479
No_tetra,allKp,VASP,xxx,Al,pw91,20,B,smear0.200,Murn,fcc,71.446529
No_tetra,allKp,VASP,xxx,Al,pw91,22,B,smear0.200,Murn,fcc,74.900766
No_tetra,allKp,VASP,xxx,Al,pw91,24,B,smear0.200,Murn,fcc,72.810126
No_tetra,allKp,VASP,xxx,Al,pw91,26,B,smear0.200,Murn,fcc,74.540166
No_tetra,allKp,VASP,xxx,Al,pw91,28,B,smear0.200,Murn,fcc,75.236565
No_tetra,allKp,VASP,xxx,Al,pw91,30,B,smear0.200,Murn,fcc,73.698093
No_tetra,allKp,VASP,xxx,Al,pw91,32,B,smear0.200,Murn,fcc,74.863786
No_tetra,allKp,VASP,xxx,Al,pw91,34,B,smear0.200,Murn,fcc,73.417013
No_tetra,allKp,VASP,xxx,Al,pw91,36,B,smear0.200,Murn,fcc,74.471947
No_tetra,allKp,VASP,xxx,Al,pw91,38,B,smear0.200,Murn,fcc,73.972049
No_tetra,allKp,VASP,xxx,Al,pw91,40,B,smear0.200,Murn,fcc,74.586324
No_tetra,allKp,VASP,xxx,Al,pw91,42,B,smear0.200,Murn,fcc,74.597951
No_tetra,allKp,VASP,xxx,Al,pw91,44,B,smear0.200,Murn,fcc,74.097068
No_tetra,allKp,VASP,xxx,Al,pw91,46,B,smear0.200,Murn,fcc,74.606071
No_tetra,allKp,VASP,xxx,Al,pw91,48,B,smear0.200,Murn,fcc,74.040059
No_tetra,allKp,VASP,xxx,Al,pw91,50,B,smear0.200,Murn,fcc,74.560513
No_tetra,allKp,VASP,xxx,Al,pw91,52,B,smear0.200,Murn,fcc,74.273496
No_tetra,allKp,VASP,xxx,Al,pw91,54,B,smear0.200,Murn,fcc,74.304692
No_tetra,allKp,VASP,xxx,Al,pw91,56,B,smear0.200,Murn,fcc,74.461475
No_tetra,allKp,VASP,xxx,Al,pw91,58,B,smear0.200,Murn,fcc,74.210596
No_tetra,allKp,VASP,xxx,Al,pw91,60,B,smear0.200,Murn,fcc,74.468833
No_tetra,allKp,VASP,xxx,Al,pw91,62,B,smear0.200,Murn,fcc,74.267959
No_tetra,allKp,VASP,xxx,Al,pw91,64,B,smear0.200,Murn,fcc,74.353189
No_tetra,allKp,VASP,xxx,Al,pw91,66,B,smear0.200,Murn,fcc,74.375719
No_tetra,allKp,VASP,xxx,Al,pw91,68,B,smear0.200,Murn,fcc,74.286133
No_tetra,allKp,VASP,xxx,Al,pw91,70,B,smear0.200,Murn,fcc,74.395514
No_tetra,allKp,DMol3,c4.0,Al,pwc,5,dB,therm0.005,Murn,fcc,3.2864
No_tetra,allKp,DMol3,c4.0,Al,pwc,7,dB,therm0.005,Murn,fcc,4.4508
No_tetra,allKp,DMol3,c4.0,Al,pwc,9,dB,therm0.005,Murn,fcc,4.3097
No_tetra,allKp,DMol3,c4.0,Al,pwc,11,dB,therm0.005,Murn,fcc,4.304
No_tetra,allKp,DMol3,c4.0,Al,pwc,13,dB,therm0.005,Murn,fcc,4.4285
No_tetra,allKp,DMol3,c4.0,Al,pwc,15,dB,therm0.005,Murn,fcc,4.4283
No_tetra,allKp,DMol3,c4.0,Al,pwc,17,dB,therm0.005,Murn,fcc,4.3813
No_tetra,allKp,DMol3,c4.0,Al,pwc,19,dB,therm0.005,Murn,fcc,4.4109
No_tetra,allKp,DMol3,c4.0,Al,pwc,21,dB,therm0.005,Murn,fcc,4.3607
No_tetra,allKp,DMol3,c4.0,Al,pwc,23,dB,therm0.005,Murn,fcc,4.3781
No_tetra,allKp,DMol3,c4.0,Al,pwc,25,dB,therm0.005,Murn,fcc,4.3844
No_tetra,allKp,DMol3,c4.0,Al,pwc,27,dB,therm0.005,Murn,fcc,4.3681
No_tetra,allKp,DMol3,c4.0,Al,pwc,29,dB,therm0.005,Murn,fcc,4.3877
No_tetra,allKp,DMol3,c4.0,Al,pwc,31,dB,therm0.005,Murn,fcc,4.3735
No_tetra,allKp,DMol3,c4.0,Al,pwc,33,dB,therm0.005,Murn,fcc,4.382
No_tetra,allKp,DMol3,c4.0,Al,pwc,35,dB,therm0.005,Murn,fcc,4.3861
No_tetra,allKp,DMol3,c4.0,Al,pwc,37,dB,therm0.005,Murn,fcc,4.3761
No_tetra,allKp,DMol3,c4.0,Al,pwc,39,dB,therm0.005,Murn,fcc,4.3833
No_tetra,allKp,DMol3,c4.0,Al,pwc,41,dB,therm0.005,Murn,fcc,4.3786
No_tetra,allKp,DMol3,c4.0,Al,pwc,43,dB,therm0.005,Murn,fcc,4.3808
No_tetra,allKp,DMol3,c4.0,Al,pwc,45,dB,therm0.005,Murn,fcc,4.382
No_tetra,allKp,DMol3,c4.0,Al,pwc,47,dB,therm0.005,Murn,fcc,4.3781
No_tetra,allKp,DMol3,c4.0,Al,pwc,49,dB,therm0.005,Murn,fcc,4.3805
No_tetra,allKp,DMol3,c4.0,Al,pwc,51,dB,therm0.005,Murn,fcc,4.3803
No_tetra,allKp,DMol3,c4.0,Al,pwc,53,dB,therm0.005,Murn,fcc,4.3805
No_tetra,allKp,DMol3,c4.0,Al,pwc,55,dB,therm0.005,Murn,fcc,4.3807
No_tetra,allKp,DMol3,c4.0,Al,pwc,57,dB,therm0.005,Murn,fcc,4.3807
No_tetra,allKp,DMol3,c4.0,Al,pwc,59,dB,therm0.005,Murn,fcc,4.3807
No_tetra,allKp,DMol3,c4.5,Al,vwn,5,a0,therm0.005,Murn,fcc,4.0104
No_tetra,allKp,DMol3,c4.5,Al,vwn,7,a0,therm0.005,Murn,fcc,3.97982
No_tetra,allKp,DMol3,c4.5,Al,vwn,9,a0,therm0.005,Murn,fcc,3.98784
No_tetra,allKp,DMol3,c4.5,Al,vwn,11,a0,therm0.005,Murn,fcc,3.98771
No_tetra,allKp,DMol3,c4.5,Al,vwn,13,a0,therm0.005,Murn,fcc,3.98445
No_tetra,allKp,DMol3,c4.5,Al,vwn,15,a0,therm0.005,Murn,fcc,3.98554
No_tetra,allKp,DMol3,c4.5,Al,vwn,17,a0,therm0.005,Murn,fcc,3.98543
No_tetra,allKp,DMol3,c4.5,Al,vwn,19,a0,therm0.005,Murn,fcc,3.98546
No_tetra,allKp,DMol3,c4.5,Al,vwn,21,a0,therm0.005,Murn,fcc,3.98594
No_tetra,allKp,DMol3,c4.5,Al,vwn,23,a0,therm0.005,Murn,fcc,3.98551
No_tetra,allKp,DMol3,c4.5,Al,vwn,25,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.5,Al,vwn,27,a0,therm0.005,Murn,fcc,3.98561
No_tetra,allKp,DMol3,c4.5,Al,vwn,29,a0,therm0.005,Murn,fcc,3.9855
No_tetra,allKp,DMol3,c4.5,Al,vwn,31,a0,therm0.005,Murn,fcc,3.98562
No_tetra,allKp,DMol3,c4.5,Al,vwn,33,a0,therm0.005,Murn,fcc,3.98553
No_tetra,allKp,DMol3,c4.5,Al,vwn,35,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.5,Al,vwn,37,a0,therm0.005,Murn,fcc,3.98558
No_tetra,allKp,DMol3,c4.5,Al,vwn,39,a0,therm0.005,Murn,fcc,3.98554
No_tetra,allKp,DMol3,c4.5,Al,vwn,41,a0,therm0.005,Murn,fcc,3.98557
No_tetra,allKp,DMol3,c4.5,Al,vwn,43,a0,therm0.005,Murn,fcc,3.98555
No_tetra,allKp,DMol3,c4.5,Al,vwn,45,a0,therm0.005,Murn,fcc,3.98557
No_tetra,allKp,DMol3,c4.5,Al,vwn,47,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.5,Al,vwn,49,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.5,Al,vwn,51,a0,therm0.005,Murn,fcc,3.98557
No_tetra,allKp,DMol3,c4.5,Al,vwn,53,a0,therm0.005,Murn,fcc,3.98556
