bz_integration,calculations_type,code,cutoff,element,exchange,k-point,property,smearing,state_equation,structure,value
No_tetra,allKp,DMol3,c4.5,Al,vwn,55,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.5,Al,vwn,57,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.5,Al,vwn,59,a0,therm0.005,Murn,fcc,3.98556
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,5,a0,therm0.001,Murn,fcc,4.09548
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,7,a0,therm0.001,Murn,fcc,4.04434
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,9,a0,therm0.001,Murn,fcc,4.06495
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,11,a0,therm0.001,Murn,fcc,4.05977
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,13,a0,therm0.001,Murn,fcc,4.05463
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,15,a0,therm0.001,Murn,fcc,4.05551
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,17,a0,therm0.001,Murn,fcc,4.05558
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,19,a0,therm0.001,Murn,fcc,4.05681
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,21,a0,therm0.001,Murn,fcc,4.05836
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,23,a0,therm0.001,Murn,fcc,4.05668
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,25,a0,therm0.001,Murn,fcc,4.05645
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,27,a0,therm0.001,Murn,fcc,4.05634
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,29,a0,therm0.001,Murn,fcc,4.05652
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,31,a0,therm0.001,Murn,fcc,4.05702
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,33,a0,therm0.001,Murn,fcc,4.05656
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,35,a0,therm0.001,Murn,fcc,4.05662
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,37,a0,therm0.001,Murn,fcc,4.05672
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,39,a0,therm0.001,Murn,fcc,4.05644
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,41,a0,therm0.001,Murn,fcc,4.05684
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,43,a0,therm0.001,Murn,fcc,4.0566
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,45,a0,therm0.001,Murn,fcc,4.05663
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,47,a0,therm0.001,Murn,fcc,4.05672
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,49,a0,therm0.001,Murn,fcc,4.05647
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,51,a0,therm0.001,Murn,fcc,4.05676
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,53,a0,therm0.001,Murn,fcc,4.05661
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,55,a0,therm0.001,Murn,fcc,4.05664
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,57,a0,therm0.001,Murn,fcc,4.05666
No_tetra,allKp,DMol3,c4.0,Al,vwnbp,59,a0,therm0.001,Murn,fcc,4.05655
No_tetra,allKp,VASP,xxx,W,pw91,4,E0,smear0.100,Murn,bcc,-13.129004
No_tetra,allKp,VASP,xxx,W,pw91,6,E0,smear0.100,Murn,bcc,-12.880512
No_tetra,allKp,VASP,xxx,W,pw91,8,E0,smear0.100,Murn,bcc,-12.911271
No_tetra,allKp,VASP,xxx,W,pw91,10,E0,smear0.100,Murn,bcc,-12.924081
No_tetra,allKp,VASP,xxx,W,pw91,12,E0,smear0.100,Murn,bcc,-12.914767
No_tetra,allKp,VASP,xxx,W,pw91,14,E0,smear0.100,Murn,bcc,-12.925099
No_tetra,allKp,VASP,xxx,W,pw91,16,E0,smear0.100,Murn,bcc,-12.911899
No_tetra,allKp,VASP,xxx,W,pw91,18,E0,smear0.100,Murn,bcc,-12.923612
No_tetra,allKp,VASP,xxx,W,pw91,20,E0,smear0.100,Murn,bcc,-12.917553
No_tetra,allKp,VASP,xxx,W,pw91,22,E0,smear0.100,Murn,bcc,-12.923667
No_tetra,allKp,VASP,xxx,W,pw91,24,E0,smear0.100,Murn,bcc,-12.918998
No_tetra,allKp,VASP,xxx,W,pw91,26,E0,smear0.100,Murn,bcc,-12.921508
No_tetra,allKp,VASP,xxx,W,pw91,28,E0,smear0.100,Murn,bcc,-12.921873
No_tetra,allKp,VASP,xxx,W,pw91,30,E0,smear0.100,Murn,bcc,-12.919609
No_tetra,allKp,VASP,xxx,W,pw91,32,E0,smear0.100,Murn,bcc,-12.922253
No_tetra,allKp,VASP,xxx,W,pw91,34,E0,smear0.100,Murn,bcc,-12.919795
No_tetra,allKp,VASP,xxx,W,pw91,36,E0,smear0.100,Murn,bcc,-12.921707
No_tetra,allKp,VASP,xxx,W,pw91,38,E0,smear0.100,Murn,bcc,-12.92061
No_tetra,allKp,VASP,xxx,W,pw91,40,E0,smear0.100,Murn,bcc,-12.920982
No_tetra,allKp,VASP,xxx,W,pw91,42,E0,smear0.100,Murn,bcc,-12.921083
No_tetra,allKp,VASP,xxx,W,pw91,44,E0,smear0.100,Murn,bcc,-12.920851
No_tetra,allKp,VASP,xxx,W,pw91,46,E0,smear0.100,Murn,bcc,-12.920879
No_tetra,allKp,VASP,xxx,W,pw91,48,E0,smear0.100,Murn,bcc,-12.920928
No_tetra,allKp,VASP,xxx,W,pw91,50,E0,smear0.100,Murn,bcc,-12.921042
No_tetra,allKp,VASP,xxx,W,pw91,52,E0,smear0.100,Murn,bcc,-12.920921
No_tetra,allKp,VASP,xxx,W,pw91,54,E0,smear0.100,Murn,bcc,-12.921191
No_tetra,allKp,VASP,xxx,W,pw91,56,E0,smear0.100,Murn,bcc,-12.920756
No_tetra,allKp,VASP,xxx,W,pw91,58,E0,smear0.100,Murn,bcc,-12.921101
No_tetra,allKp,VASP,xxx,W,pw91,60,E0,smear0.100,Murn,bcc,-12.920971
No_tetra,allKp,VASP,xxx,W,pw91,62,E0,smear0.100,Murn,bcc,-12.920922
No_tetra,allKp,VASP,xxx,W,pw91,64,E0,smear0.100,Murn,bcc,-12.921168
No_tetra,allKp,VASP,xxx,W,pw91,66,E0,smear0.100,Murn,bcc,-12.920909
No_tetra,allKp,VASP,xxx,W,pw91,68,E0,smear0.100,Murn,bcc,-12.921021
No_tetra,allKp,VASP,xxx,W,pw91,70,E0,smear0.100,Murn,bcc,-12.920998
Tetra,allKp,DMol3,c5.0,Al,pbe,5,dB,Fermi,Murn,fcc,2.1947
Tetra,allKp,DMol3,c5.0,Al,pbe,7,dB,Fermi,Murn,fcc,4.2948
Tetra,allKp,DMol3,c5.0,Al,pbe,10,dB,Fermi,Murn,fcc,4.6621
Tetra,allKp,DMol3,c5.0,Al,pbe,12,dB,Fermi,Murn,fcc,4.3708
Tetra,allKp,DMol3,c5.0,Al,pbe,15,dB,Fermi,Murn,fcc,4.3428
Tetra,allKp,DMol3,c5.0,Al,pbe,17,dB,Fermi,Murn,fcc,4.2931
Tetra,allKp,DMol3,c5.0,Al,pbe,20,dB,Fermi,Murn,fcc,4.2961
Tetra,allKp,DMol3,c5.0,Al,pbe,22,dB,Fermi,Murn,fcc,4.2897
Tetra,allKp,DMol3,c5.0,Al,pbe,25,dB,Fermi,Murn,fcc,4.3051
Tetra,allKp,DMol3,c5.0,Al,pbe,27,dB,Fermi,Murn,fcc,4.2788
Tetra,allKp,DMol3,c5.0,Al,pbe,30,dB,Fermi,Murn,fcc,4.2657
Tetra,allKp,DMol3,c5.0,Al,pbe,33,dB,Fermi,Murn,fcc,4.2533
Tetra,allKp,DMol3,c5.0,Al,pbe,35,dB,Fermi,Murn,fcc,4.2934
Tetra,allKp,DMol3,c5.0,Al,pbe,37,dB,Fermi,Murn,fcc,4.2454
Tetra,allKp,DMol3,c5.0,Al,pbe,40,dB,Fermi,Murn,fcc,4.2685
Tetra,allKp,DMol3,c5.0,Al,pbe,42,dB,Fermi,Murn,fcc,4.2657
Tetra,allKp,DMol3,c5.0,Al,pbe,45,dB,Fermi,Murn,fcc,4.2799
Tetra,allKp,DMol3,c5.0,Al,pbe,47,dB,Fermi,Murn,fcc,4.2602
Tetra,allKp,DMol3,c5.0,Al,pbe,49,dB,Fermi,Murn,fcc,4.2825
Tetra,allKp,DMol3,c5.0,Al,pbe,51,dB,Fermi,Murn,fcc,4.2633
Tetra,allKp,DMol3,c5.0,Al,pbe,53,dB,Fermi,Murn,fcc,4.2719
Tetra,allKp,DMol3,c5.0,Al,pbe,55,dB,Fermi,Murn,fcc,4.2781
Tetra,allKp,DMol3,c5.0,Al,pbe,57,dB,Fermi,Murn,fcc,4.2726
No_tetra,allKp,DMol3,c5.5,W,vwnbp,9,dB,Fermi,Murn,bcc,3.9505
No_tetra,allKp,DMol3,c5.5,W,vwnbp,11,dB,Fermi,Murn,bcc,4.2246
No_tetra,allKp,DMol3,c5.5,W,vwnbp,13,dB,Fermi,Murn,bcc,4.2116
No_tetra,allKp,DMol3,c5.5,W,vwnbp,15,dB,Fermi,Murn,bcc,3.9151
No_tetra,allKp,DMol3,c5.5,W,vwnbp,17,dB,Fermi,Murn,bcc,3.9208
No_tetra,allKp,DMol3,c5.5,W,vwnbp,19,dB,Fermi,Murn,bcc,4.0135
No_tetra,allKp,DMol3,c5.5,W,vwnbp,21,dB,Fermi,Murn,bcc,4.0042
No_tetra,allKp,DMol3,c5.5,W,vwnbp,23,dB,Fermi,Murn,bcc,4.0456
No_tetra,allKp,DMol3,c5.5,W,vwnbp,25,dB,Fermi,Murn,bcc,4.0173
No_tetra,allKp,DMol3,c5.5,W,vwnbp,27,dB,Fermi,Murn,bcc,4.0375
No_tetra,allKp,DMol3,c5.5,W,vwnbp,29,dB,Fermi,Murn,bcc,4.0499
No_tetra,allKp,DMol3,c5.5,W,vwnbp,31,dB,Fermi,Murn,bcc,4.0312
No_tetra,allKp,DMol3,c5.5,W,vwnbp,33,dB,Fermi,Murn,bcc,4.0382
No_tetra,allKp,DMol3,c5.5,W,vwnbp,35,dB,Fermi,Murn,bcc,4.0453
No_tetra,allKp,DMol3,c5.5,W,vwnbp,37,dB,Fermi,Murn,bcc,4.035
No_tetra,allKp,DMol3,c5.5,W,vwnbp,39,dB,Fermi,Murn,bcc,4.032
No_tetra,allKp,DMol3,c5.5,W,vwnbp,41,dB,Fermi,Murn,bcc,4.0367
No_tetra,allKp,DMol3,c5.5,W,vwnbp,43,dB,Fermi,Murn,bcc,4.0424
No_tetra,allKp,DMol3,c5.5,W,vwnbp,45,dB,Fermi,Murn,bcc,4.0337
No_tetra,allKp,DMol3,c5.5,W,vwnbp,47,dB,Fermi,Murn,bcc,4.0377
No_tetra,allKp,DMol3,c5.5,W,vwnbp,49,dB,Fermi,Murn,bcc,4.0427
No_tetra,allKp,DMol3,c5.5,W,vwnbp,51,dB,Fermi,Murn,bcc,4.0373
No_tetra,allKp,DMol3,c5.5,W,vwnbp,53,dB,Fermi,Murn,bcc,4.0357
No_tetra,allKp,DMol3,c5.5,W,vwnbp,55,dB,Fermi,Murn,bcc,4.0411
No_tetra,allKp,DMol3,c5.5,W,vwnbp,57,dB,Fermi,Murn,bcc,4.0449
No_tetra,allKp,DMol3,c5.5,W,vwnbp,59,dB,Fermi,Murn,bcc,4.0397
No_tetra,allKp,DMol3,c5.0,W,pw91,9,dB,therm0.0075,Murn,bcc,4.2286
No_tetra,allKp,DMol3,c5.0,W,pw91,11,dB,therm0.0075,Murn,bcc,4.264
No_tetra,allKp,DMol3,c5.0,W,pw91,13,dB,therm0.0075,Murn,bcc,4.2585
No_tetra,allKp,DMol3,c5.0,W,pw91,15,dB,therm0.0075,Murn,bcc,4.227
No_tetra,allKp,DMol3,c5.0,W,pw91,17,dB,therm0.0075,Murn,bcc,4.2362
No_tetra,allKp,DMol3,c5.0,W,pw91,19,dB,therm0.0075,Murn,bcc,4.2419
No_tetra,allKp,DMol3,c5.0,W,pw91,21,dB,therm0.0075,Murn,bcc,4.2413
No_tetra,allKp,DMol3,c5.0,W,pw91,23,dB,therm0.0075,Murn,bcc,4.2386
No_tetra,allKp,DMol3,c5.0,W,pw91,25,dB,therm0.0075,Murn,bcc,4.2391
No_tetra,allKp,DMol3,c5.0,W,pw91,27,dB,therm0.0075,Murn,bcc,4.2399
No_tetra,allKp,DMol3,c5.0,W,pw91,29,dB,therm0.0075,Murn,bcc,4.2396
No_tetra,allKp,DMol3,c5.0,W,pw91,31,dB,therm0.0075,Murn,bcc,4.2392
No_tetra,allKp,DMol3,c5.0,W,pw91,33,dB,therm0.0075,Murn,bcc,4.2397
No_tetra,allKp,DMol3,c5.0,W,pw91,35,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,37,dB,therm0.0075,Murn,bcc,4.2399
No_tetra,allKp,DMol3,c5.0,W,pw91,39,dB,therm0.0075,Murn,bcc,4.2398
No_tetra,allKp,DMol3,c5.0,W,pw91,41,dB,therm0.0075,Murn,bcc,4.2397
No_tetra,allKp,DMol3,c5.0,W,pw91,43,dB,therm0.0075,Murn,bcc,4.2406
No_tetra,allKp,DMol3,c5.0,W,pw91,45,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,47,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,49,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,51,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,53,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,55,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,57,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c5.0,W,pw91,59,dB,therm0.0075,Murn,bcc,4.2402
No_tetra,allKp,DMol3,c6.0,W,vwn,9,dB,therm0.001,Murn,bcc,3.7586
No_tetra,allKp,DMol3,c6.0,W,vwn,11,dB,therm0.001,Murn,bcc,4.3047
No_tetra,allKp,DMol3,c6.0,W,vwn,13,dB,therm0.001,Murn,bcc,4.1676
No_tetra,allKp,DMol3,c6.0,W,vwn,15,dB,therm0.001,Murn,bcc,4.0402
No_tetra,allKp,DMol3,c6.0,W,vwn,17,dB,therm0.001,Murn,bcc,4.3109
No_tetra,allKp,DMol3,c6.0,W,vwn,19,dB,therm0.001,Murn,bcc,4.2317
No_tetra,allKp,DMol3,c6.0,W,vwn,21,dB,therm0.001,Murn,bcc,4.1606
No_tetra,allKp,DMol3,c6.0,W,vwn,23,dB,therm0.001,Murn,bcc,4.1495
No_tetra,allKp,DMol3,c6.0,W,vwn,25,dB,therm0.001,Murn,bcc,4.1823
No_tetra,allKp,DMol3,c6.0,W,vwn,27,dB,therm0.001,Murn,bcc,4.2631
No_tetra,allKp,DMol3,c6.0,W,vwn,29,dB,therm0.001,Murn,bcc,4.2035
No_tetra,allKp,DMol3,c6.0,W,vwn,31,dB,therm0.001,Murn,bcc,4.1684
No_tetra,allKp,DMol3,c6.0,W,vwn,33,dB,therm0.001,Murn,bcc,4.1818
No_tetra,allKp,DMol3,c6.0,W,vwn,35,dB,therm0.001,Murn,bcc,4.1887
No_tetra,allKp,DMol3,c6.0,W,vwn,37,dB,therm0.001,Murn,bcc,4.204
No_tetra,allKp,DMol3,c6.0,W,vwn,39,dB,therm0.001,Murn,bcc,4.1967
No_tetra,allKp,DMol3,c6.0,W,vwn,41,dB,therm0.001,Murn,bcc,4.1868
No_tetra,allKp,DMol3,c6.0,W,vwn,43,dB,therm0.001,Murn,bcc,4.1899
No_tetra,allKp,DMol3,c6.0,W,vwn,45,dB,therm0.001,Murn,bcc,4.1856
No_tetra,allKp,DMol3,c6.0,W,vwn,47,dB,therm0.001,Murn,bcc,4.1904
No_tetra,allKp,DMol3,c6.0,W,vwn,49,dB,therm0.001,Murn,bcc,4.197
No_tetra,allKp,DMol3,c6.0,W,vwn,51,dB,therm0.001,Murn,bcc,4.1915
No_tetra,allKp,DMol3,c6.0,W,vwn,53,dB,therm0.001,Murn,bcc,4.1893
No_tetra,allKp,DMol3,c6.0,W,vwn,55,dB,therm0.001,Murn,bcc,4.1899
No_tetra,allKp,DMol3,c6.0,W,vwn,57,dB,therm0.001,Murn,bcc,4.1918
No_tetra,allKp,DMol3,c6.0,W,vwn,59,dB,therm0.001,Murn,bcc,4.1916
No_tetra,allKp,DMol3,c5.5,Al,pbe,5,a0,therm0.005,Murn,fcc,4.06642
No_tetra,allKp,DMol3,c5.5,Al,pbe,7,a0,therm0.005,Murn,fcc,4.0352
No_tetra,allKp,DMol3,c5.5,Al,pbe,9,a0,therm0.005,Murn,fcc,4.04392
No_tetra,allKp,DMol3,c5.5,Al,pbe,11,a0,therm0.005,Murn,fcc,4.04243
No_tetra,allKp,DMol3,c5.5,Al,pbe,13,a0,therm0.005,Murn,fcc,4.04013
No_tetra,allKp,DMol3,c5.5,Al,pbe,15,a0,therm0.005,Murn,fcc,4.04086
No_tetra,allKp,DMol3,c5.5,Al,pbe,17,a0,therm0.005,Murn,fcc,4.04086
No_tetra,allKp,DMol3,c5.5,Al,pbe,19,a0,therm0.005,Murn,fcc,4.04107
No_tetra,allKp,DMol3,c5.5,Al,pbe,21,a0,therm0.005,Murn,fcc,4.04131
No_tetra,allKp,DMol3,c5.5,Al,pbe,23,a0,therm0.005,Murn,fcc,4.04109
No_tetra,allKp,DMol3,c5.5,Al,pbe,25,a0,therm0.005,Murn,fcc,4.041
No_tetra,allKp,DMol3,c5.5,Al,pbe,27,a0,therm0.005,Murn,fcc,4.0411
No_tetra,allKp,DMol3,c5.5,Al,pbe,29,a0,therm0.005,Murn,fcc,4.04102
No_tetra,allKp,DMol3,c5.5,Al,pbe,31,a0,therm0.005,Murn,fcc,4.04108
No_tetra,allKp,DMol3,c5.5,Al,pbe,33,a0,therm0.005,Murn,fcc,4.04105
No_tetra,allKp,DMol3,c5.5,Al,pbe,35,a0,therm0.005,Murn,fcc,4.04104
No_tetra,allKp,DMol3,c5.5,Al,pbe,37,a0,therm0.005,Murn,fcc,4.04108
No_tetra,allKp,DMol3,c5.5,Al,pbe,39,a0,therm0.005,Murn,fcc,4.04104
No_tetra,allKp,DMol3,c5.5,Al,pbe,41,a0,therm0.005,Murn,fcc,4.04105
No_tetra,allKp,DMol3,c5.5,Al,pbe,43,a0,therm0.005,Murn,fcc,4.04104
No_tetra,allKp,DMol3,c5.5,Al,pbe,45,a0,therm0.005,Murn,fcc,4.04104
No_tetra,allKp,DMol3,c5.5,Al,pbe,47,a0,therm0.005,Murn,fcc,4.04105
No_tetra,allKp,DMol3,c5.5,Al,pbe,49,a0,therm0.005,Murn,fcc,4.04104
